employee_id,training_date,program,training_type,outcome,duration_days,cost,start_date,exit_date,termination_type,employee_status,department,is_effective,effective_spend,wasted_spend,has_left,spend_to_leaver,date_validity,is_valid_record,tenure_at_training_years,cost_per_day,training_month
1050,2023-08-03,Customer Service,Internal,Completed,1,846.43,2020-11-23,,Unk,Active,Software Engineering,True,846.43,0.0,False,0.0,valid,True,2.69,846.43,2023-08
1051,2022-10-13,Leadership Development,Internal,Passed,3,572.94,2022-04-08,2023-01-11,Involuntary,Active,Software Engineering,True,572.94,0.0,True,572.94,valid,True,0.51,190.98,2022-10
1052,2022-10-25,Communication Skills,Internal,Incomplete,4,234.76,2021-02-25,2021-06-04,Voluntary,Active,Software Engineering,False,0.0,234.76,True,234.76,after_exit,False,1.66,58.69,2022-10
1053,2022-12-19,Communication Skills,External,Passed,4,704.7,2019-03-13,2021-04-07,Resignation,Active,Software Engineering,True,704.7,0.0,True,704.7,after_exit,False,3.77,176.18,2022-12
1054,2022-11-04,Technical Skills,External,Failed,3,533.97,2023-02-12,,Unk,Active,Software Engineering,False,0.0,533.97,False,0.0,before_hire,False,-0.27,177.99,2022-11
1055,2022-11-15,Customer Service,Internal,Passed,2,125.7,2018-09-08,,Unk,Active,Software Engineering,True,125.7,0.0,False,0.0,valid,True,4.19,62.85,2022-11
1056,2023-02-16,Leadership Development,Internal,Completed,2,442.06,2021-11-18,,Unk,Active,Software Engineering,True,442.06,0.0,False,0.0,valid,True,1.25,221.03,2023-02
1057,2022-10-23,Project Management,Internal,Failed,4,649.23,2023-07-01,,Unk,Active,Software Engineering,False,0.0,649.23,False,0.0,before_hire,False,-0.69,162.31,2022-10
1058,2023-04-01,Project Management,External,Incomplete,1,855.67,2022-04-18,,Unk,Active,Software Engineering,False,0.0,855.67,False,0.0,valid,True,0.95,855.67,2023-04
1059,2022-09-16,Technical Skills,Internal,Incomplete,3,256.82,2023-04-29,,Unk,Active,Software Engineering,False,0.0,256.82,False,0.0,before_hire,False,-0.62,85.61,2022-09
1060,2022-09-06,Project Management,Internal,Completed,1,770.84,2018-10-10,2018-12-25,Voluntary,Active,Software Engineering,True,770.84,0.0,True,770.84,after_exit,False,3.91,770.84,2022-09
1061,2023-08-01,Project Management,Internal,Incomplete,2,862.33,2022-11-20,,Unk,Active,Software Engineering,False,0.0,862.33,False,0.0,valid,True,0.7,431.16,2023-08
1062,2022-11-27,Technical Skills,Internal,Failed,5,702.84,2019-05-18,2020-01-14,Involuntary,Voluntarily Terminated,Software Engineering,False,0.0,702.84,True,702.84,after_exit,False,3.53,140.57,2022-11
1063,2022-10-15,Technical Skills,Internal,Completed,1,523.82,2021-06-22,,Unk,Active,Software Engineering,True,523.82,0.0,False,0.0,valid,True,1.31,523.82,2022-10
1064,2022-10-06,Leadership Development,External,Passed,1,819.86,2022-03-30,2022-04-13,Retirement,Voluntarily Terminated,Software Engineering,True,819.86,0.0,True,819.86,after_exit,False,0.52,819.86,2022-10
1065,2022-12-09,Technical Skills,External,Passed,4,486.01,2018-08-28,,Unk,Active,Software Engineering,True,486.01,0.0,False,0.0,valid,True,4.28,121.5,2022-12
1066,2023-06-14,Communication Skills,Internal,Completed,5,769.42,2021-12-27,2023-01-05,Voluntary,Active,Software Engineering,True,769.42,0.0,True,769.42,after_exit,False,1.46,153.88,2023-06
1067,2023-06-24,Project Management,External,Completed,5,857.65,2020-11-14,,Unk,Active,Software Engineering,True,857.65,0.0,False,0.0,valid,True,2.61,171.53,2023-06
1068,2022-11-06,Communication Skills,External,Completed,1,238.27,2021-10-01,,Unk,Active,Software Engineering,True,238.27,0.0,False,0.0,valid,True,1.1,238.27,2022-11
1069,2022-08-22,Communication Skills,Internal,Failed,5,886.06,2018-10-13,2023-05-28,Resignation,Active,Software Engineering,False,0.0,886.06,True,886.06,valid,True,3.86,177.21,2022-08
1070,2023-01-14,Technical Skills,Internal,Failed,1,943.8,2018-12-15,2022-05-28,Resignation,Active,Software Engineering,False,0.0,943.8,True,943.8,after_exit,False,4.08,943.8,2023-01
1071,2023-03-16,Communication Skills,Internal,Completed,5,234.26,2019-03-28,2020-10-17,Involuntary,Voluntarily Terminated,Software Engineering,True,234.26,0.0,True,234.26,after_exit,False,3.97,46.85,2023-03
1072,2023-05-19,Technical Skills,Internal,Passed,5,179.91,2018-12-27,,Unk,Active,Software Engineering,True,179.91,0.0,False,0.0,valid,True,4.39,35.98,2023-05
1073,2022-10-03,Project Management,Internal,Failed,4,306.3,2019-05-11,,Unk,Active,Software Engineering,False,0.0,306.3,False,0.0,valid,True,3.4,76.58,2022-10
1074,2023-07-07,Project Management,Internal,Passed,5,103.42,2021-02-19,2023-02-24,Voluntary,Voluntarily Terminated,Software Engineering,True,103.42,0.0,True,103.42,after_exit,False,2.38,20.68,2023-07
1075,2023-05-16,Project Management,Internal,Passed,4,573.29,2022-11-05,2023-04-16,Involuntary,Active,Software Engineering,True,573.29,0.0,True,573.29,after_exit,False,0.53,143.32,2023-05
1076,2022-11-07,Technical Skills,External,Incomplete,4,619.61,2020-03-22,2020-09-28,Retirement,Active,Software Engineering,False,0.0,619.61,True,619.61,after_exit,False,2.63,154.9,2022-11
1077,2022-12-21,Project Management,Internal,Incomplete,1,947.17,2019-02-02,,Unk,Active,Software Engineering,False,0.0,947.17,False,0.0,valid,True,3.88,947.17,2022-12
1078,2023-03-24,Project Management,External,Passed,1,597.64,2020-02-24,2021-06-16,Voluntary,Active,Software Engineering,True,597.64,0.0,True,597.64,after_exit,False,3.08,597.64,2023-03
1079,2023-04-15,Communication Skills,External,Incomplete,5,861.1,2021-04-07,2022-05-01,Resignation,Active,Software Engineering,False,0.0,861.1,True,861.1,after_exit,False,2.02,172.22,2023-04
1080,2023-04-22,Customer Service,External,Passed,4,199.14,2020-11-14,,Unk,Active,Software Engineering,True,199.14,0.0,False,0.0,valid,True,2.43,49.78,2023-04
1081,2023-06-05,Communication Skills,External,Failed,3,526.08,2022-01-17,2022-08-10,Involuntary,Voluntarily Terminated,Software Engineering,False,0.0,526.08,True,526.08,after_exit,False,1.38,175.36,2023-06
1082,2023-04-22,Customer Service,External,Incomplete,5,662.15,2021-09-02,2023-06-27,Retirement,Active,Software Engineering,False,0.0,662.15,True,662.15,valid,True,1.63,132.43,2023-04
1083,2022-11-18,Project Management,External,Completed,4,869.89,2023-07-30,,Unk,Active,Software Engineering,True,869.89,0.0,False,0.0,before_hire,False,-0.7,217.47,2022-11
1084,2022-12-17,Leadership Development,External,Completed,3,295.4,2023-06-27,,Unk,Active,Software Engineering,True,295.4,0.0,False,0.0,before_hire,False,-0.53,98.47,2022-12
1085,2022-11-01,Customer Service,External,Passed,5,993.13,2022-03-27,,Unk,Active,Software Engineering,True,993.13,0.0,False,0.0,valid,True,0.6,198.63,2022-11
1086,2023-07-15,Leadership Development,External,Completed,2,641.69,2022-08-12,2022-10-20,Voluntary,Active,Software Engineering,True,641.69,0.0,True,641.69,after_exit,False,0.92,320.85,2023-07
1087,2023-05-10,Technical Skills,Internal,Incomplete,5,197.34,2022-07-08,2023-08-04,Voluntary,Active,Software Engineering,False,0.0,197.34,True,197.34,valid,True,0.84,39.47,2023-05
1088,2023-05-17,Leadership Development,External,Failed,2,235.15,2020-08-15,2021-01-23,Resignation,Active,Software Engineering,False,0.0,235.15,True,235.15,after_exit,False,2.75,117.58,2023-05
1089,2023-05-27,Technical Skills,Internal,Passed,2,697.28,2023-05-27,2023-06-14,Involuntary,Active,Software Engineering,True,697.28,0.0,True,697.28,valid,True,0.0,348.64,2023-05
1090,2023-03-21,Communication Skills,External,Completed,1,910.33,2023-01-02,,Unk,Active,Software Engineering,True,910.33,0.0,False,0.0,valid,True,0.21,910.33,2023-03
1091,2022-10-20,Customer Service,Internal,Incomplete,2,213.91,2018-11-16,2021-04-03,Involuntary,Active,Production,False,0.0,213.91,True,213.91,after_exit,False,3.93,106.96,2022-10
1092,2022-09-20,Communication Skills,Internal,Completed,5,971.46,2022-07-12,,Unk,Active,Production,True,971.46,0.0,False,0.0,valid,True,0.19,194.29,2022-09
1093,2023-07-07,Customer Service,External,Failed,5,995.52,2022-12-16,,Unk,Active,Production,False,0.0,995.52,False,0.0,valid,True,0.56,199.1,2023-07
1094,2022-08-18,Communication Skills,Internal,Failed,4,161.4,2023-05-08,,Unk,Active,Production,False,0.0,161.4,False,0.0,before_hire,False,-0.72,40.35,2022-08
1095,2022-08-17,Customer Service,Internal,Passed,4,715.87,2023-04-07,,Unk,Active,Production,True,715.87,0.0,False,0.0,before_hire,False,-0.64,178.97,2022-08
1096,2022-09-25,Technical Skills,External,Incomplete,5,778.25,2022-02-15,2022-10-19,Voluntary,Active,Production,False,0.0,778.25,True,778.25,valid,True,0.61,155.65,2022-09
1097,2022-08-11,Customer Service,Internal,Completed,1,609.5,2023-07-17,2023-08-03,Involuntary,Active,Production,True,609.5,0.0,True,609.5,before_hire,False,-0.93,609.5,2022-08
1098,2023-05-13,Leadership Development,External,Failed,5,666.67,2019-05-03,2023-06-02,Involuntary,Voluntarily Terminated,Production,False,0.0,666.67,True,666.67,valid,True,4.03,133.33,2023-05
1099,2022-10-30,Project Management,External,Incomplete,5,797.05,2022-03-25,2022-04-22,Retirement,Active,Production,False,0.0,797.05,True,797.05,after_exit,False,0.6,159.41,2022-10
1100,2023-02-25,Communication Skills,External,Completed,3,518.56,2020-04-07,,Unk,Active,Production,True,518.56,0.0,False,0.0,valid,True,2.89,172.85,2023-02
1101,2023-03-31,Communication Skills,Internal,Passed,5,426.82,2021-03-10,,Unk,Active,Production,True,426.82,0.0,False,0.0,valid,True,2.06,85.36,2023-03
1102,2022-12-31,Project Management,External,Failed,2,150.04,2019-08-04,,Unk,Active,Production,False,0.0,150.04,False,0.0,valid,True,3.41,75.02,2022-12
1103,2023-07-05,Leadership Development,External,Passed,3,308.21,2021-04-11,2023-05-27,Involuntary,Voluntarily Terminated,Production,True,308.21,0.0,True,308.21,after_exit,False,2.23,102.74,2023-07
1104,2022-08-11,Communication Skills,Internal,Completed,4,766.77,2019-06-16,,Unk,Active,Production,True,766.77,0.0,False,0.0,valid,True,3.15,191.69,2022-08
1105,2023-01-17,Technical Skills,Internal,Incomplete,4,172.19,2020-10-08,2022-12-04,Voluntary,Voluntarily Terminated,Production,False,0.0,172.19,True,172.19,after_exit,False,2.28,43.05,2023-01
1106,2022-10-31,Project Management,Internal,Completed,1,742.55,2021-08-18,,Unk,Active,Production,True,742.55,0.0,False,0.0,valid,True,1.2,742.55,2022-10
1107,2023-01-26,Technical Skills,Internal,Failed,2,231.28,2020-03-16,,Unk,Active,Production,False,0.0,231.28,False,0.0,valid,True,2.86,115.64,2023-01
1108,2023-05-23,Customer Service,Internal,Completed,5,124.54,2019-01-24,,Unk,Active,Production,True,124.54,0.0,False,0.0,valid,True,4.33,24.91,2023-05
1109,2023-01-21,Leadership Development,External,Completed,5,898.37,2022-06-11,2022-09-25,Retirement,Voluntarily Terminated,Production,True,898.37,0.0,True,898.37,after_exit,False,0.61,179.67,2023-01
1110,2022-10-13,Customer Service,Internal,Passed,2,764.36,2022-07-02,,Unk,Active,Production,True,764.36,0.0,False,0.0,valid,True,0.28,382.18,2022-10
1111,2022-12-05,Project Management,Internal,Failed,5,786.57,2019-09-08,2020-08-29,Retirement,Voluntarily Terminated,Production,False,0.0,786.57,True,786.57,after_exit,False,3.24,157.31,2022-12
1112,2022-09-30,Communication Skills,Internal,Failed,3,668.05,2022-07-10,,Unk,Active,Production,False,0.0,668.05,False,0.0,valid,True,0.22,222.68,2022-09
1113,2023-01-20,Technical Skills,External,Incomplete,2,956.92,2022-04-24,,Unk,Active,Production,False,0.0,956.92,False,0.0,valid,True,0.74,478.46,2023-01
1114,2023-02-25,Communication Skills,Internal,Incomplete,1,912.27,2020-03-31,,Unk,Active,Production,False,0.0,912.27,False,0.0,valid,True,2.9,912.27,2023-02
1115,2023-05-19,Customer Service,Internal,Incomplete,4,881.71,2019-03-23,,Unk,Active,Production,False,0.0,881.71,False,0.0,valid,True,4.16,220.43,2023-05
1116,2023-05-16,Communication Skills,Internal,Incomplete,4,557.68,2019-03-09,2023-07-12,Voluntary,Voluntarily Terminated,Production,False,0.0,557.68,True,557.68,valid,True,4.19,139.42,2023-05
1117,2023-01-12,Communication Skills,Internal,Completed,4,271.68,2019-02-21,2019-03-06,Resignation,Voluntarily Terminated,Production,True,271.68,0.0,True,271.68,after_exit,False,3.89,67.92,2023-01
1118,2022-12-16,Communication Skills,External,Completed,2,299.68,2019-10-04,2022-11-26,Retirement,Active,Production,True,299.68,0.0,True,299.68,after_exit,False,3.2,149.84,2022-12
1119,2023-07-08,Communication Skills,Internal,Incomplete,5,440.28,2019-11-24,2020-12-20,Involuntary,Active,Production,False,0.0,440.28,True,440.28,after_exit,False,3.62,88.06,2023-07
1120,2023-03-10,Leadership Development,Internal,Incomplete,4,553.83,2020-08-17,,Unk,Active,Production,False,0.0,553.83,False,0.0,valid,True,2.56,138.46,2023-03
1121,2022-09-19,Leadership Development,Internal,Failed,1,428.9,2021-03-16,,Unk,Active,Production,False,0.0,428.9,False,0.0,valid,True,1.51,428.9,2022-09
1122,2023-01-21,Communication Skills,Internal,Passed,3,444.4,2021-11-16,2022-08-26,Retirement,Active,Production,True,444.4,0.0,True,444.4,after_exit,False,1.18,148.13,2023-01
1123,2023-01-31,Project Management,Internal,Completed,4,254.38,2022-05-03,,Unk,Active,Production,True,254.38,0.0,False,0.0,valid,True,0.75,63.6,2023-01
1124,2022-11-03,Communication Skills,Internal,Failed,1,256.21,2019-12-24,2022-11-11,Involuntary,Active,Production,False,0.0,256.21,True,256.21,valid,True,2.86,256.21,2022-11
1125,2022-12-14,Communication Skills,Internal,Incomplete,2,756.19,2021-10-21,,Unk,Active,Production,False,0.0,756.19,False,0.0,valid,True,1.15,378.1,2022-12
1126,2023-07-29,Technical Skills,Internal,Failed,4,500.45,2018-09-08,2020-03-06,Retirement,Voluntarily Terminated,Production,False,0.0,500.45,True,500.45,after_exit,False,4.89,125.11,2023-07
1127,2022-09-04,Communication Skills,External,Incomplete,2,500.83,2019-02-26,,Unk,Active,Production,False,0.0,500.83,False,0.0,valid,True,3.52,250.42,2022-09
1128,2023-05-17,Communication Skills,Internal,Incomplete,1,773.8,2023-04-21,,Unk,Active,Production,False,0.0,773.8,False,0.0,valid,True,0.07,773.8,2023-05
1129,2022-09-11,Technical Skills,Internal,Passed,2,768.06,2019-09-19,2021-10-23,Resignation,Voluntarily Terminated,Production,True,768.06,0.0,True,768.06,after_exit,False,2.98,384.03,2022-09
1130,2022-11-09,Leadership Development,External,Completed,3,777.7,2020-12-23,,Unk,Active,Production,True,777.7,0.0,False,0.0,valid,True,1.88,259.23,2022-11
1131,2023-03-31,Customer Service,Internal,Incomplete,2,943.05,2019-03-29,,Unk,Active,Production,False,0.0,943.05,False,0.0,valid,True,4.01,471.52,2023-03
1132,2022-09-27,Communication Skills,Internal,Passed,4,475.91,2021-05-15,2023-05-03,Involuntary,Voluntarily Terminated,Production,True,475.91,0.0,True,475.91,valid,True,1.37,118.98,2022-09
1133,2022-08-19,Customer Service,External,Passed,3,107.14,2022-03-14,2022-10-02,Voluntary,Voluntarily Terminated,Production,True,107.14,0.0,True,107.14,valid,True,0.43,35.71,2022-08
1134,2022-12-09,Communication Skills,External,Passed,1,271.49,2021-12-06,2022-01-08,Retirement,Voluntarily Terminated,Production,True,271.49,0.0,True,271.49,after_exit,False,1.01,271.49,2022-12
1135,2023-03-22,Project Management,Internal,Passed,2,524.23,2021-10-27,,Unk,Active,Production,True,524.23,0.0,False,0.0,valid,True,1.4,262.12,2023-03
1136,2022-12-25,Customer Service,External,Completed,3,535.88,2023-04-01,,Unk,Active,Production,True,535.88,0.0,False,0.0,before_hire,False,-0.27,178.63,2022-12
1137,2022-09-09,Communication Skills,Internal,Passed,5,270.92,2019-05-29,,Unk,Active,Production,True,270.92,0.0,False,0.0,valid,True,3.28,54.18,2022-09
1138,2022-09-10,Customer Service,Internal,Failed,4,155.14,2019-07-12,2022-07-12,Involuntary,Active,Production,False,0.0,155.14,True,155.14,after_exit,False,3.16,38.78,2022-09
1139,2022-10-01,Customer Service,External,Completed,1,930.06,2018-08-10,2022-02-21,Involuntary,Active,Production,True,930.06,0.0,True,930.06,after_exit,False,4.14,930.06,2022-10
1140,2022-09-27,Customer Service,Internal,Passed,1,949.81,2021-09-29,,Unk,Active,Production,True,949.81,0.0,False,0.0,valid,True,0.99,949.81,2022-09
1141,2023-05-17,Technical Skills,Internal,Incomplete,1,635.31,2021-08-05,,Unk,Active,Production,False,0.0,635.31,False,0.0,valid,True,1.78,635.31,2023-05
1142,2023-07-17,Leadership Development,External,Completed,3,675.04,2023-08-02,,Unk,Active,Production,True,675.04,0.0,False,0.0,before_hire,False,-0.04,225.01,2023-07
1143,2022-12-20,Customer Service,Internal,Failed,3,563.38,2018-09-02,2021-07-28,Resignation,Active,Production,False,0.0,563.38,True,563.38,after_exit,False,4.3,187.79,2022-12
1144,2023-01-10,Communication Skills,External,Completed,4,750.25,2019-10-13,,Unk,Active,Production,True,750.25,0.0,False,0.0,valid,True,3.24,187.56,2023-01
1145,2022-11-15,Technical Skills,Internal,Incomplete,2,401.53,2020-09-24,,Unk,Active,Production,False,0.0,401.53,False,0.0,valid,True,2.14,200.76,2022-11
1146,2023-06-28,Technical Skills,External,Failed,3,894.88,2023-08-06,,Unk,Active,Production,False,0.0,894.88,False,0.0,before_hire,False,-0.11,298.29,2023-06
1147,2023-01-25,Leadership Development,Internal,Failed,2,247.58,2019-06-11,2022-02-27,Involuntary,Voluntarily Terminated,Production,False,0.0,247.58,True,247.58,after_exit,False,3.62,123.79,2023-01
1148,2022-09-01,Communication Skills,External,Passed,3,529.0,2019-02-14,,Unk,Active,Production,True,529.0,0.0,False,0.0,valid,True,3.55,176.33,2022-09
1149,2023-07-31,Leadership Development,External,Failed,5,483.99,2022-03-17,,Unk,Active,Production,False,0.0,483.99,False,0.0,valid,True,1.37,96.8,2023-07
1150,2023-06-03,Project Management,External,Incomplete,5,797.35,2020-08-05,,Unk,Active,Production,False,0.0,797.35,False,0.0,valid,True,2.83,159.47,2023-06
1151,2022-12-19,Project Management,External,Passed,4,707.59,2022-08-23,,Unk,Active,Production,True,707.59,0.0,False,0.0,valid,True,0.32,176.9,2022-12
